date,home,away,actual,pred_poisson,pred_real,has_real,relo_h,relo_a,lambda_h,lambda_a,match_idx,se_real,se_poisson,min_elo
2026-01-03,Mali,Tunisia,1.0,0.587392738755542,0.4769904127024377,True,1599.0,1615.0,1.3207439835254524,0.9657418620235338,1992,0.2735390284051665,0.17024475203165243,1599.0
2026-01-03,Senegal,Sudan,1.0,0.7579591883405858,0.9309851196318173,True,1807.0,1355.0,1.9909804904471473,0.7877141162482088,1993,0.0047630537122345705,0.058583754508748,1355.0
2026-01-04,South Africa,Cameroon,0.0,0.5520560331170039,0.43701527189640416,True,1550.0,1594.0,1.3312747937493972,1.1144116749665811,1994,0.19098234787068805,0.3047658637008825,1550.0
2026-01-04,Morocco,Tanzania,1.0,0.8246936273840376,0.969002622496188,True,1840.0,1342.0,2.229384738083374,0.6279760543642534,1995,0.0009608374121138327,0.030732324279766646,1342.0
2026-01-05,Nigeria,Mozambique,1.0,0.6749308929924347,0.8352528323139615,True,1669.0,1387.0,1.5549140042106637,0.8193086071856709,1996,0.02714162926057168,0.10566992433069594,1387.0
2026-01-05,Egypt,Benin,1.0,0.6309158890594516,0.7533860777856145,True,1622.0,1428.0,1.4502006343154974,0.9073427845063188,1997,0.06081842662996298,0.13622308094877503,1428.0
2026-01-06,Algeria,DR Congo,1.0,0.5912682001770229,0.6400649998028851,True,1757.0,1657.0,1.5130675895644383,1.118720484600772,1998,0.1295532043668971,0.16706168418653025,1657.0
2026-01-06,Côte d'Ivoire,Burkina Faso,1.0,0.6120571486462726,0.5798997603578815,True,1627.0,1571.0,1.5872136566159716,1.097111407197686,1999,0.1764842113473654,0.15049965591646025,1571.0
2026-01-09,Cameroon,Morocco,0.0,0.266665718310654,0.13277910403245627,True,1616.0,1842.0,0.7969543479335377,1.8478350670784387,2000,0.017630290467661843,0.07111060532213706,1616.0
2026-01-09,Mali,Senegal,0.0,0.45538970702005577,0.22787132653141615,True,1600.0,1812.0,1.1166200497822212,1.3014020196875575,2001,0.05192534145518728,0.20737978525981224,1600.0
2026-01-10,Algeria,Nigeria,0.0,0.5589589869302432,0.6280448056219418,True,1775.0,1684.0,1.4769185007026135,1.2203684537544643,2002,0.3944402778687026,0.31243514907008374,1684.0
2026-01-10,Egypt,Côte d'Ivoire,1.0,0.4044078627158244,0.46551605527316847,True,1640.0,1664.0,1.078649103980917,1.4872279937345816,2003,0.2856730871707546,0.35472999399473226,1640.0
2026-01-14,Senegal,Egypt,1.0,0.5581647872747081,0.7105400123698378,True,1823.0,1667.0,1.3613958311083327,1.117534089083702,2004,0.08378708443885367,0.19521835520400396,1667.0
2026-01-14,Nigeria,Morocco,0.0,0.3121832070102847,0.21888459727003834,True,1731.0,1852.0,0.86438870346155,1.6819082868185855,2005,0.04791046692206687,0.09745835473922626,1731.0
2026-01-17,Egypt,Nigeria,0.0,0.4681977518971393,0.37061145278249774,True,1653.0,1745.0,1.118166118005927,1.2485871994364206,2006,0.13735284893355354,0.2192091348815352,1653.0
2026-01-18,Bolivia,Panama,0.5,0.4500364808771919,0.5344839447268315,True,1666.0,1742.0,1.2009649343778432,1.415200214995294,2007,0.0011891424439231682,0.0024963532431352114,1666.0
2026-01-18,Grenada,Jamaica,0.0,0.34084903113183995,0.14660537788811823,True,1122.0,1528.0,0.9773813988128791,1.677094149759727,2008,0.021493136825717945,0.116178062023514,1122.0
2026-01-18,Canada,Guatemala,1.0,0.7129416229828263,0.8985940288909822,True,1805.0,1526.0,1.8400925890705597,0.8767738215568693,2009,0.01028317097656296,0.08240251181573385,1526.0
2026-01-18,Senegal,Morocco,0.0,0.32976613781703346,0.35860988804438204,True,1837.0,1838.0,0.9172606590559945,1.6579851999619926,2010,0.12860105180320422,0.1087457056507627,1837.0
2026-01-23,Panama,Mexico,0.0,0.4610289224485337,0.4827374755676238,True,1733.0,1845.0,1.1705857843353364,1.3344295707479763,2011,0.23303547031740218,0.2125476673340561,1733.0
2026-01-25,Bolivia,Mexico,0.0,0.3585098774701474,0.3868631798468569,True,1665.0,1845.0,0.9593317093531011,1.5650736128910263,2012,0.14966311992122155,0.1285293322436601,1665.0
2026-01-26,Uzbekistan,China,0.5,0.7248718037594909,0.9232106803028998,True,1735.0,1403.0,1.825884225620329,0.8165381535119297,2013,0.17910727992244324,0.05056732812604699,1403.0
2026-02-26,Mexico,Iceland,1.0,0.7036407812996619,0.9066840316615196,True,1857.0,1562.0,1.8309882908660688,0.9093824709457182,2014,0.008707869946948284,0.08782878650867483,1562.0
2026-03-15,Bolivia,Trinidad and Tobago,1.0,0.6477158311342744,0.8847078164911643,True,1657.0,1403.0,1.6916656515499957,1.0359415083358592,2015,0.013292287578235057,0.12410413563341503,1403.0
2026-03-25,Kazakhstan,Namibia,1.0,0.499376763842586,0.6387377491117249,True,1410.0,1311.0,1.2118665869535945,1.2144264010755617,2016,0.13051041391686305,0.2506236245807219,1311.0
2026-03-25,Eritrea,Eswatini,1.0,0.5062933487485557,0.4327711556570478,True,1139.0,1286.0,1.3135225581689483,1.2866166549555587,2017,0.32174856185464107,0.24374625748991524,1139.0
2026-03-25,Kyrgyzstan,Equatorial Guinea,0.0,0.4511297812708398,0.544494573083008,True,1313.0,1382.0,1.1343492247782503,1.338819829852658,2019,0.2964743401168471,0.20351807954947576,1313.0
2026-03-25,DR Congo,Bermuda,1.0,0.7705215936650459,0.9725887253726934,True,1639.0,1119.0,2.146825201612803,0.8337118826492919,2020,0.0007513779766936245,0.052660338974030295,1119.0
2026-03-26,Wales,Bosnia & Herzegovina,0.0,0.6668377431475523,0.8019966441144332,True,1715.0,1572.0,1.9213850676871438,1.137045912373253,2021,0.6431986171708127,0.4446725756861209,1572.0
2026-03-26,Ukraine,Sweden,0.0,0.5687029546188371,0.8010809398289457,True,1802.0,1660.0,1.6012039588746527,1.292412800746489,2022,0.6417306721572269,0.3234230505921951,1660.0
2026-03-26,Türkiye,Romania,1.0,0.6262715090492266,0.8749753069983639,True,1880.0,1642.0,1.6950597392870952,1.1285515886177038,2023,0.015631173860153356,0.13967298494834235,1642.0
2026-03-26,Malta,Luxembourg,0.0,0.44789205819409383,0.47555453887933863,True,1278.0,1395.0,1.1721564923326078,1.3937426579937964,2024,0.2261521194487404,0.20060729579334155,1278.0
2026-03-26,Moldova,Lithuania,0.0,0.5117513672507887,0.654519994382466,True,1288.0,1277.0,1.399143007027305,1.347683378992197,2025,0.42839642304642334,0.2618894618830516,1277.0
2026-03-26,Slovakia,Kosovo,0.0,0.5281514675784165,0.6035363185261781,True,1687.0,1714.0,1.3620582486746848,1.241692208372592,2026,0.36425608778013224,0.2789439727052351,1687.0
2026-03-26,Italy,Northern Ireland,1.0,0.702733177990359,0.8858769425858495,True,1859.0,1603.0,1.8113462172615418,0.8987701126575596,2027,0.013024072233553495,0.08836756346771162,1603.0
2026-03-26,Gibraltar,Latvia,0.0,0.3292161965053939,0.27431435372821295,True,1017.0,1286.0,1.0346699409273317,1.8119224803362814,2028,0.07524836466132713,0.10838330404147814,1017.0
2026-03-26,Georgia,Israel,0.5,0.5934785324480554,0.6648579785547648,True,1650.0,1631.0,1.6290732396228669,1.211085282732126,2029,0.027178153093163293,0.00873823602864214,1631.0
2026-03-26,Czechia,Ireland,1.0,0.6299991222722702,0.8136122105055869,True,1844.0,1688.0,1.6902648584895241,1.108851314245085,2030,0.034740408072613665,0.13690064951929048,1688.0
2026-03-26,Cyprus,Belarus,0.0,0.5158138322959062,0.3679299878999264,True,1302.0,1496.0,1.4212370481003898,1.3517070506710138,2031,0.13537247599604,0.2660639095877892,1302.0
2026-03-26,Denmark,North Macedonia,1.0,0.6985202547572261,0.9291127058412668,True,1865.0,1518.0,1.8944924155846536,0.9782001655947243,2032,0.0050250084731467675,0.09089003679164784,1518.0
2026-03-26,Brazil,France,0.0,0.4818085715160202,0.5215733330511455,True,1978.0,2063.0,1.3107820660772729,1.389708817080795,2033,0.27203874175008114,0.23213949958630795,1978.0
2026-03-26,Afghanistan,Myanmar,0.0,0.5380733664354426,0.3679299878999264,True,1034.0,1228.0,1.2897088818579097,1.1319221109007103,2034,0.13537247599604,0.28952294766717007,1034.0
2026-03-26,Vietnam,Bangladesh,1.0,0.7688765972291547,0.9434762493459331,True,1329.0,940.0,2.1189726288323536,0.8230825467132964,2035,0.003194934388003128,0.05341802730837439,940.0
2026-03-26,Aruba,Macau,1.0,0.7698779086811476,0.8841193563384137,True,949.0,596.0,2.52797914974667,1.0885004729076782,2036,0.013428323575423552,0.05295617691296225,596.0
2026-03-26,Djibouti,South Sudan,0.0,0.4425494383372449,0.3351420214452352,True,915.0,1134.0,1.1826643505740466,1.4289768683563522,2037,0.11232017453839849,0.19585000537261094,915.0
2026-03-26,Puerto Rico,Guam,1.0,0.6739354281789001,0.9203048806723595,True,1136.0,711.0,1.74396732827197,0.9682287893966046,2038,0.00635131204464686,0.10631810499687724,711.0
2026-03-26,Tanzania,Liechtenstein,0.0,0.8210543290170437,0.9264124438824264,True,1340.0,900.0,2.1680723499209873,0.6103027979439879,2039,0.8582400161802098,0.6741302111976278,900.0
